# 맵 선언과 파일이 맞는가 — 파일이 정답이다
#
# 팩의 너비/높이가 파일 크기와 어긋나는 선언이 12개 있다. 어긋나면 서버가 이름을 대고
# 거른다(AreaStorage.LoadMap). 칸이 Cols 로 줄바꿈되므로 Cols 가 틀리면 맵이 뒤엉킨다.
#
# 칸: 이름 / 선언WxH / 선언바이트 / 파일바이트 / 판정 / 맵파일 / 출처

(뤼케)성메인홀	16x16	1536	1536	OK	db/maps/default/maps/lod119.map	maps/rucesion/rucesion.txt
(뤼케)성복도	5x33	990	990	OK	db/maps/default/maps/lod126.map	maps/rucesion/rucesion.txt
(뤼케)성식당	10x10	600	600	OK	db/maps/default/maps/lod120.map	maps/rucesion/rucesion.txt
(뤼케)알현실	16x16	1536	1536	OK	db/maps/default/maps/lod115.map	maps/rucesion/rucesion.txt
1차승급PK	35x60	12600	12600	OK	db/maps/PK/maps/lod0002.map	maps/PK/PK.txt
2차승급PK	35x60	12600	12600	OK	db/maps/PK/maps/lod0002.map	maps/PK/PK.txt
OX퀴즈장	50x50	15000	15000	OK	db/maps/default/maps/lod1701.map	maps/default/default.txt
가상계	9x9	486	486	OK	db/maps/default/maps/lod1200.map	maps/default/default.txt
가상계1	12x12	864	864	OK	db/maps/default/maps/lod403.map	maps/default/default.txt
가상계A	12x12	864	864	OK	db/maps/default/maps/lod1201.map	maps/default/default.txt
감옥	30x30	5400	5400	OK	db/maps/default/maps/lod4201.map	maps/default/default.txt
개미굴1층	70x70	29400	29400	OK	db/maps/default/maps/lod253.map	maps/default/default.txt
개미굴2층	50x50	15000	15000	OK	db/maps/default/maps/lod252.map	maps/default/default.txt
개미굴3층	90x90	48600	48600	OK	db/maps/default/maps/lod250.map	maps/default/default.txt
개미굴4층	70x70	29400	29400	OK	db/maps/default/maps/lod253.map	maps/default/default.txt
개미굴대기실	50x50	15000	15000	OK	db/maps/default/maps/lod185.map	maps/default/default.txt
격수사범의집	15x15	1350	1350	OK	db/maps/default/maps/lod1242.map	maps/default/default.txt
결계2대기실	16x16	1536	4200	어긋남	db/maps/default/maps/lod7000.map	maps/default/default.txt
결계대기실	16x16	1536	4200	어긋남	db/maps/default/maps/lod7000.map	maps/default/default.txt
결계보스방	15x15	1350	1350	OK	db/maps/default/maps/lod7005.map	maps/default/default.txt
광산11층	100x100	60000	60000	OK	db/maps/default/maps/lod2114.map	maps/default/default.txt
광산12층	100x100	60000	60000	OK	db/maps/default/maps/lod2119.map	maps/default/default.txt
광산13층	100x100	60000	60000	OK	db/maps/default/maps/lod2120.map	maps/default/default.txt
광산14층	100x100	60000	60000	OK	db/maps/default/maps/lod2121.map	maps/default/default.txt
광산15층	100x100	60000	60000	OK	db/maps/default/maps/lod2130.map	maps/default/default.txt
광산16층	100x100	60000	60000	OK	db/maps/default/maps/lod2137.map	maps/default/default.txt
광산1층	100x100	60000	60000	OK	db/maps/default/maps/lod2102.map	maps/default/default.txt
광산2층	100x100	60000	60000	OK	db/maps/default/maps/lod2103.map	maps/default/default.txt
광산3층	100x100	60000	60000	OK	db/maps/default/maps/lod2104.map	maps/default/default.txt
광산4층	100x100	60000	60000	OK	db/maps/default/maps/lod2105.map	maps/default/default.txt
광산5층	100x100	60000	60000	OK	db/maps/default/maps/lod2106.map	maps/default/default.txt
광산6층	100x100	60000	60000	OK	db/maps/default/maps/lod2112.map	maps/default/default.txt
광산7층	100x100	60000	60000	OK	db/maps/default/maps/lod2107.map	maps/default/default.txt
광산A	30x30	5400	5400	OK	db/maps/mine/maps/lod6800.map	maps/mine/mine.txt
광산대기실	50x50	15000	15000	OK	db/maps/default/maps/lod2101.map	maps/default/default.txt
기초1	20x20	2400	2400	OK	db/maps/default/maps/lod1240.map	maps/default/default.txt
기초2	30x30	5400	5400	OK	db/maps/default/maps/lod1241.map	maps/default/default.txt
기초3	15x15	1350	1350	OK	db/maps/default/maps/lod1242.map	maps/default/default.txt
기초4	70x50	21000	21000	OK	db/maps/default/maps/lod1247.map	maps/default/default.txt
길드마스터의방	20x20	2400	2400	OK	db/maps/루어스성/maps/lod0009.map	maps/루어스성/루어스성.txt
노바고급의류점	15x15	1350	1350	OK	db/maps/default/maps/lod2652.map	maps/default/default.txt
노바마을	100x100	60000	60000	OK	db/maps/default/maps/lod3208.map	maps/default/default.txt
노바무기점	15x15	1350	1350	OK	db/maps/default/maps/lod2649.map	maps/default/default.txt
노바미용실	20x20	2400	2400	OK	db/maps/default/maps/lod2651.map	maps/default/default.txt
노바방어구점	15x15	1350	864	어긋남	db/maps/default/maps/lod2650.map	maps/default/default.txt
노바성인용품점	15x15	1350	1350	OK	db/maps/default/maps/lod2652.map	maps/default/default.txt
노바의집	20x20	2400	2400	OK	db/maps/default/maps/lod994.map	maps/default/default.txt
노바펫상점	15x15	1350	1350	OK	db/maps/default/maps/lod2652.map	maps/default/default.txt
노비스1	70x70	29400	29400	OK	db/maps/default/maps/lod6700.map	maps/default/default.txt
노비스던전1	40x40	9600	9600	OK	db/maps/default/maps/lod6703.map	maps/default/default.txt
노비스마을	70x70	29400	29400	OK	db/maps/노비스마을/maps/lod4644.map	maps/노비스마을/노비스마을.txt
노비스마을식당	20x20	2400	2400	OK	db/maps/노비스마을/maps/lod4650.map	maps/노비스마을/노비스마을.txt
노비스무기방어구상점	20x20	2400	2400	OK	db/maps/노비스마을/maps/lod4647.map	maps/노비스마을/노비스마을.txt
노비스민가1	30x15	2700	2700	OK	db/maps/노비스마을/maps/lod4645.map	maps/노비스마을/노비스마을.txt
노비스민가2	13x20	1560	1560	OK	db/maps/노비스마을/maps/lod4648.map	maps/노비스마을/노비스마을.txt
노비스사냥터1	50x50	15000	15000	OK	db/maps/default/maps/lod6701.map	maps/default/default.txt
노비스상점1	15x15	1350	1350	OK	db/maps/default/maps/lod2652.map	maps/default/default.txt
노비스잡화상점	20x20	2400	2400	OK	db/maps/노비스마을/maps/lod4646.map	maps/노비스마을/노비스마을.txt
노비스주점	20x20	2400	2400	OK	db/maps/노비스마을/maps/lod4649.map	maps/노비스마을/노비스마을.txt
노비스지하던전A1	40x40	9600	9600	OK	db/maps/노비스마을/maps/lod4653.map	maps/노비스마을/노비스마을.txt
노비스지하던전A2	40x40	9600	9600	OK	db/maps/노비스마을/maps/lod4654.map	maps/노비스마을/노비스마을.txt
노비스지하던전A3	40x40	9600	9600	OK	db/maps/노비스마을/maps/lod4661.map	maps/노비스마을/노비스마을.txt
노비스지하던전B1	40x40	9600	9600	OK	db/maps/노비스마을/maps/lod4655.map	maps/노비스마을/노비스마을.txt
노비스지하던전B2	40x40	9600	9600	OK	db/maps/노비스마을/maps/lod4656.map	maps/노비스마을/노비스마을.txt
