0,배A,20,15,배A,16,13,0,99,362
0,배A,20,16,배A,16,14,0,99,362

0,배A,17,13,배A,21,15,0,99,362
0,배A,17,14,배A,21,16,0,99,362

0,배A,18,12,배A-1,1,11,0,99,362
0,배A,18,17,배A-1,1,11,0,99,362
0,배A-1,0,11,배A,19,17,0,99,362

0,배A,10,15,배A-7,12,8,0,99,362
0,배A-7,14,8,배A,11,15,0,99,362

0,배A,12,13,배A,8,12,0,99,362
0,배A,9,12,배A,13,13,0,99,362

0,배A,12,12,배A,8,11,0,99,362
0,배A,9,11,배A,13,12,0,99,362

0,배A-1,18,19,배A-2,8,2,0,99,362
0,배A-2,8,1,배A-1,18,18,0,99,362

0,배A-1,32,19,배A-3,5,2,0,99,362
0,배A-3,5,1,배A-1,32,18,0,99,362

0,배A-1,25,19,배A-4,4,2,0,99,362
0,배A-4,4,1,배A-1,25,18,0,99,362

0,배A-1,16,2,배A-5,9,18,0,99,362
0,배A-5,9,19,배A-1,16,3,0,99,362

0,배A-1,12,7,배A-6,9,18,0,99,362
0,배A-6,9,19,배A-1,13,7,0,99,362

0,배A-1,41,2,배A-8,9,23,0,99,362
0,배A-8,9,24,배A-1,41,3,0,99,362

0,배A-1,30,2,배A-9,26,38,0,99,362
0,배A-9,26,39,배A-1,30,3,0,99,362

0,배A-1,43,19,배A-10,25,1,0,99,362
0,배A-10,25,0,배A-1,43,18,0,99,362
