0	텔리포트의깃털	0	1	0	0	1	0
1	세오의깃털	0	1	0	0	1	0
2	만남의광장리콜	0	100	0	0	0	0
3	마법의리콜	0	1	1558942978	0	1	0
12	매직파나	3000	1	0	0	0	0
15	순수의증표(마법사)	0	4	0	0	0	0
16	엑스쿠라눔	0	10	0	0	0	0
17	여마승모	1000000	1	0	0	0	0
18	여마승	1000000	1	0	0	0	0
20	세오의가호(SLev1)	0	10	0	0	0	0
21	크리스마스가호(Lev1)	0	5	0	0	0	0
22	리턴스피릿	0	77	0	0	0	0
24	피에트프릴	9999948	1	0	0	1	0
25	세피라링(Lev6)	4948	1	0	0	1	0
28	라이온방패	30000	1	0	0	1	0
30	[10일]생명의벨트	100000	1	1551166983	0	0	0
31	[10일]생명의목걸이	300000	1	1551166983	0	0	0
36	홀리루딘캐프린	3000000	1	0	0	1	0
37	호엔캐프린	3000000	1	0	0	0	0
38	타고르프릴	10000000	1	0	0	0	0
39	초보자브로치	1500	1	1550907778	0	1	0
40	프라이버시안경	30000	1	0	0	1	0
41	화관	30000	1	0	0	1	0
42	[10일]루딘블레이드	999777	1	1551166983	0	1	0
48	소환기술서	0	1	0	0	0	0
49	세오의손길마법서	0	1	0	0	0	0
50	칸의눈동자기술서	0	1	0	0	0	0
51	소환기술서	0	1	0	0	0	0
52	소환기술서	0	1	0	0	0	0
53	소환기술서	0	1	0	0	0	0
