미스티플레이트토	미스티플레이트토	10	53850	1	0	0	0	9000	-26	0	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	1
뤼케시온미스티플레이트풍	뤼케시온미스티플레이트풍	10	71800	1	0	0	0	9000	-27	0	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	1
대지의잼벨트	대지의잼벨트	1	250000	1	0	0	0	1000	0	0	0	0	0	0	0	0	1	1	0	0	41	0	0	0	0	2
루어스클리머스	루어스클리머스	8	21750	1	0	0	0	12000	-32	0	0	0	0	0	0	0	0	0	3	0	71	0	0	0	0	1
루어스레더튜닉	루어스레더튜닉	4	950	1	0	0	0	3000	-11	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
울트라마린목도리(30일)	울트라마린목도리(30일)	0	10	1	1	1	0	10000000	-1	3	3	0	0	0	0	0	0	0	0	0	1	10	1	0	0	2
해적여선장모자(30일)	해적여선장모자(30일)	0	10	1	1	1	0	1000000	-8	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	1
세피라링(Lev9)	세피라링(Lev9)	1	550000	1	0	0	0	2000	-1	2	2	550	550	0	0	0	0	0	0	0	1	20	1	0	0	2
다크터콰이즈목도리(30일)	다크터콰이즈목도리(30일)	0	10	1	1	1	0	10000000	-1	3	3	0	0	0	0	0	0	0	0	0	1	10	1	0	0	2
진파랑색목도리(남)	진파랑색목도리(남)	1	1500000	1	0	0	0	30000	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
검은우산	검은우산	3	500	1	0	0	0	4000	0	3	3	0	0	0	0	0	0	0	0	0	1	20	1	80m90	20m30	2
화려한귀걸이	화려한귀걸이	1	13000	1	0	0	0	8000	-1	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	2
대지의자수정목걸이	대지의자수정목걸이	1	30000	1	0	0	0	3000	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2
강한마도코어레더로브	강한마도코어레더로브	0	10	0	0	0	0	3000000	-59	1	1	2000	1000	3	3	3	3	3	4	1	99	0	0	0	0	2
가발 M05(7일)	가발 M05(7일)	0	100	1	1	1	0	15000000	-2	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	0
월요검	월요검	0	10	0	0	0	0	3000000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1m2	1m2	2
코르스수	코르스수	9	35800	1	0	0	0	9000	-31	0	0	0	0	0	0	0	0	0	2	0	41	0	0	0	0	1
마법의가죽각반	마법의가죽각반	4	20000	1	0	0	0	3000	-2	0	0	0	50	0	0	0	0	0	0	0	11	0	0	0	0	2
세토아의바이올렛티	세토아의바이올렛티	2	200000	1	0	0	0	27000	0	0	0	0	0	1	4	0	0	0	0	0	71	0	0	0	0	2
오렌페플로스풍	오렌페플로스풍	13	105600	1	0	0	0	12000	-43	0	0	0	0	0	0	0	0	0	2	0	71	0	0	0	0	1
루스코	루스코	10	100000	1	0	0	0	10000	-62	0	0	1000	500	-1	-1	0	0	0	2	1	99	0	3	0	0	0
리폼여도승	레인저아머	12	1000	0	0	0	0	1000000	-63	1	1	1000	500	-1	-1	0	0	0	2	1	99	0	3	0	0	1
흑요석로그벨트(풍)	흑요석로그벨트(풍)	0	100000	0	0	0	1	10000	0	3	1	150	0	1	1	0	0	1	2	0	99	0	0	0	0	2
루어스미스티플레이트화	루어스미스티플레이트화	10	89750	1	0	0	0	9000	-28	0	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	1
루어스꼬뜨수	루어스꼬뜨수	4	1800	1	0	0	0	3000	-11	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1
뤼케시온베누스타화	뤼케시온베누스타화	5	38750	1	0	0	0	6000	-20	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	1
루어스홀리로브	루어스홀리로브	10	23300	1	0	0	0	12000	-34	0	0	0	0	0	0	0	0	0	4	0	71	0	0	0	0	1
한우리길드로브	한우리길드로브	4	1000	1	1	0	0	1000000	-2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
섬머헤어(여)FX	섬머헤어(여)FX	0	10	1	1	1	0	3000000	-7	2	2	400	600	0	0	0	0	0	0	0	1	0	0	0	0	1
이아의쌍금귀걸이	이아의쌍금귀걸이	1	40000	1	0	0	0	2000	0	0	0	0	0	2	0	0	1	0	0	0	11	0	0	0	0	2
오딘투구	오딘투구	0	10	1	1	1	0	3000000	-7	2	2	500	500	0	0	0	0	0	0	0	1	0	0	0	0	2
오렌클리머스화	오렌클리머스화	8	108750	1	0	0	0	12000	-36	0	0	0	0	0	0	0	0	0	3	0	71	0	0	0	0	1
루어스미스틱로브화	루어스미스틱로브화	5	41500	1	0	0	0	6000	-21	0	0	0	0	0	0	0	0	0	4	0	11	0	0	0	0	1
루어스풍전도복	루어스풍전도복	11	24850	1	0	0	0	12000	-38	0	0	0	0	0	0	0	0	0	5	0	71	0	0	0	0	1
연금술가루	연금술가루	1	1032000	1	0	0	0	800000	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	14m24	34m42	2
가발 M27(30일)	가발 M27(30일)	0	100	1	1	1	0	15000000	-2	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	0
가발 M27	가발 M27	0	100	1	1	1	0	15000000	-2	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	0
명화당의9	명화당의	0	10	1	1	1	0	3000000	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
루어스레데메일풍	루어스레데메일풍	7	37800	1	0	0	0	6000	-20	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	1
반창고	반창고	1	10000	1	0	0	0	15000	-1	1	1	100	100	0	0	0	0	0	0	0	1	20	0	0	0	2
적비화후의(여)	적비화후의(여)	7	300000	1	0	0	0	30000	-61	1	1	1400	300	1	-1	3	1	-3	3	1	99	0	3	0	0	1
칸의철방패	칸의철방패	5	33750	1	0	0	0	9000	-10	0	0	0	0	0	0	0	0	0	0	0	41	0	2	0	0	2
