0	텔리포트의깃털	0	1	0	0	1	0
1	세오의깃털	0	1	0	0	1	0
2	마법의리콜	0	1	1558695486	0	1	0
3	[10일]흑비화후관(남)	3000000	1	1550919834	0	1	0
4	정화된뮤레칸마법가지	2147483647	1	0	0	1	0
5	엑스쿠라눔	0	130	0	0	1	0
6	드래곤뉴트의뿔	0	13	0	0	1	0
7	뉴트의혀	0	18	0	0	1	0
8	여의주	0	16	0	0	1	0
9	안크본드라곤의머리	0	1	0	0	1	0
10	암흑의시약	0	1	0	0	1	0
11	바이런의반지	5000	1	0	0	1	0
12	라이온방패	30000	1	0	0	1	0
13	바이런의반지	5000	1	0	0	1	0
15	호엔프릴	10000000	1	0	0	0	0
16	호엔프릴	10000000	1	0	0	0	0
17	[10일]생명의목걸이	300000	1	1550919834	0	1	0
18	운디네캐프린	3000000	1	0	0	0	0
19	[10일]생명의벨트	100000	1	1550919834	0	0	0
20	리턴스피릿	0	77	0	0	0	0
21	세오의가호(SLev1)	0	2	0	0	1	0
22	크리스마스가호(Lev1)	0	3	0	0	1	0
25	만남의광장리콜	0	99	0	0	1	0
27	월드컵골대악세	30000	1	0	0	1	0
28	초보자브로치	1500	1	1550660286	0	1	0
29	일반제조책	0	1	0	0	1	0
30	제조지팡이	800	1	0	0	1	0
31	마승	1000000	1	0	0	0	0
32	[10일]루딘블레이드	999532	1	1550919834	0	1	0
33	오피온의뿔	0	2	0	0	1	0
34	자이언트맨티스의앞다리	0	1	0	0	1	0
36	엘리스토끼모자	500000	1	0	0	1	0
37	85라피드15	30000	1	0	0	1	15
38	오레오프린스슈트	3000000	1	0	0	1	0
39	엘리스토끼의상	1000000	1	0	0	1	0
40	제조책	0	1	0	0	1	0
41	칸의눈동자기술서	0	1	0	0	0	0
42	칸의눈동자기술서	0	1	0	0	0	0
43	낚시입문서	0	1	0	0	0	0
44	레드오피온의수염	0	9	0	0	1	0
45	레드오피온의등껍질	0	5	0	0	1	0
46	챰릴리	0	9	0	0	1	0
47	마승모	1000000	1	0	0	0	0
48	세피라링(Lev6)	5000	1	0	0	1	0
49	블루오피온의수염	0	3	0	0	1	0
50	레드오피온의비늘	0	4	0	0	1	0
51	운챠챠	0	4	0	0	1	0
52	흑진주	0	9	0	0	1	0
53	다이아몬드	0	35	0	0	1	0
54	서펜트바룬스의머리	0	4	0	0	1	0
55	마그마바룬스의머리	0	5	0	0	1	0
56	비밀의황금열쇠	0	1	0	0	1	0
57	별의눈물	0	3	0	0	1	0
58	남성정장	50000	1	0	0	1	0
